,FirstName,LastName,InTIme,OutTIme,CredentialNumber,AttendDate,EmpID,CheckInType,MobSSOperator,Device Name,EventID,Email,Identifier1,
Attendance Count: 15
,Andrew,Rink,09:48 ,,575,7/6/18,34775,Credential,,test no shows,137,,,
,Brynn,Ricki,09:48 ,,550,7/6/18,46913,Credential,,test no shows,137,,,
,David,Wii,09:48 ,,517,7/6/18,46017,Credential,,test no shows,137,,,
,Steve,Milla,09:48 ,,560,7/6/18,46036,Credential,,test no shows,137,,,
,Linda,Sanders,09:48 ,,554,7/6/18,46031,Credential,,test no shows,137,,,
,Enrique,Caruso ,09:48 ,,563,7/6/18,46008,Credential,,test no shows,137,,,
,Jeff,Boon jr.,09:48 ,,581,7/6/18,46012,Credential,,test no shows,137,,,
,Marcie,Hedges,09:48 ,,559,7/6/18,46032,Credential,,test no shows,137,,,
,Mario,Booli,09:48 ,,508,7/6/18,46995,Credential,,test no shows,137,,,
,Brynn,Bunty,09:48 ,,545,7/6/18,46013,Credential,,test no shows,137,,,
,Tanya,Baxter,09:48 ,,579,7/6/18,46019,Credential,,test no shows,137,,,
,Wendy,Chen,09:48 ,,577,7/6/18,46033,Credential,,test no shows,137,,,
,David,Von trapp,09:48 ,,558,7/6/18,46037,Credential,,test no shows,137,,,
,Phil,Jupiter,09:48 ,,573,7/6/18,46942,Credential,,test no shows,137,,,
,Hayat,Sindi,09:48 ,,568,7/6/18,46026,Credential,,test no shows,137,,,

Did not attend: 47
,LastName,FirstName,CredentialNumber,Email,PhoneNumber,EmergencyContact,
,Abboud,Akeem,549,null,null,null,
,Abboud,Nils,574,null,null,null,
,Abigon,Alissa,100,null,null,null,
,Badinage,Phil,585,null,null,null,
,Bahli,Steve,547,null,null,null,
,Bants,Tanya,555,null,null,null,
,Beamer,Kevin,578,null,null,null,
,Boolean Jr.,Jeff,564,null,null,null,
,Busjki,Mario,580,null,null,null,
,Christenson,Kenneth,584,null,null,null,
,Diehard,Kelly,12345678,null,null,null,
,Elston,Ronald,566,null,null,null,
,Flannery,Mia,503,null,null,null,
,Galli,Jill,224815,null,null,null,
,Garg,Sonia,10000355331,null,null,null,
,Gonzalez,Linn,504,null,null,null,
,Khan,Carla ,171081156,null,null,null,
,Knowles,Kevin,551,null,null,null,
,Kulthum,Umm,556,null,null,null,
,Lagaston,Amy,548,null,null,null,
,Lastjik,Andrew,600,null,null,null,
,Li,David,591,null,null,null,
,Li,Wendy,587,null,null,null,
,Linklater,Andrew,567,null,null,null,
,Macker,John,593,null,null,null,
,Mahmoud,Haider,599,null,null,null,
,Marko,Katherine,596,null,null,null,
,Mars,Nico,562,null,null,null,
,Masters,Barbara,576,null,null,null,
,Mayberry,Mario,569,null,null,null,
,McIntyre,Donald,588,null,null,null,
,Mello,Donald,586,null,null,null,
,Messi ,Sheila,171081160,null,null,null,
,Moluc,Robert,583,null,null,null,
,Papillon,William,514,null,null,null,
,Pinot,Rafael,557,null,null,null,
,Pluto,jery,570,null,null,null,
,Sharma,Gita,39123439,null,null,null,
,Siegfried,David,518,null,null,null,
,Tipple,Ella,171081158,null,null,null,
,Todoa,Doreen,542,null,null,null,
,Vasquez,Amy,572,null,null,null,
,Weinberger,David,582,null,null,null,
,Williams,Diana,42979,null,null,null,
,Wo,David,601,null,null,null,
,Workman,Mark,171081159,null,null,null,
,Xie,Weiping,171081157,null,null,null,

